case_study,table,column,sql_type,abstract_type,nullable,is_pk,fk_target_table,fk_target_column,source
FLEX2,ACTION_LOG,LOG_ID,"NUMBER(8,0)",number,False,True,,,Flex1.sql
FLEX2,ACTION_LOG,FORM_NAME,VARCHAR2(50),string,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,ACTION_NAME,VARCHAR2(50),string,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,ROLL_NO,"NUMBER(12,0)",number,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,OFFER_ID,"NUMBER(12,0)",number,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,OLD_VALUES,VARCHAR2(100),string,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,NEW_VALUES,VARCHAR2(100),string,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,CREATED_BY,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,CREATED_ON,DATE,date,True,False,,,Flex1.sql
FLEX2,ACTION_LOG,COURSE_ID,"NUMBER(4,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,CAMP_ID,"NUMBER(2,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,PROG_CODE,VARCHAR2(10),string,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,ARN,"NUMBER(10,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,TEST_TYPE,"NUMBER(3,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,MERIT_MARKS,"NUMBER(5,2)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,CAMP_PREF,"NUMBER(1,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,DISP_PREF,"NUMBER(1,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,IS_SELECTED,"NUMBER(1,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,MERIT_POS,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_MERIT_LIST,PROG_LEVEL,"NUMBER(1,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,CAMP_ID,"NUMBER(2,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,CAMP_CODE,VARCHAR2(10),string,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,PROG_ID,"NUMBER(3,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,PROG_CODE,VARCHAR2(10),string,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,NU_APPLS,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,NTS_APPLS,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,NTS_OFFER,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,NU_OFFER,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,SEATS,"NUMBER(8,0)",number,True,False,,,Flex1.sql
FLEX2,ADM_OFFER_SUMMARY,CUT_OFF_NU,"NUMBER(5,2)",number,True,False,,,Flex1.sql
