dmn_file,decision_name,hit_policy,dmn_rule_id,policy_clause(s),source_document,source_page(s),source_tier,input_condition,output,extraction_method,validated_by
Academic_Standing.dmn,Academic Warning Status,UNIQUE,Decision_AcademicWarningStatus_Rule_1,Rule 5.4,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",10,Tier 1 (official institutional policy document),cumulativeGPA=>= 2.00 | priorWarningCount=0,"newWarningCount=0 | admissionStatus=""Active"" | warningAction=""None""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Academic Warning Status,UNIQUE,Decision_AcademicWarningStatus_Rule_2,Rule 5.7,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",10,Tier 1 (official institutional policy document),cumulativeGPA=>= 2.00 | priorWarningCount=1,"newWarningCount=0 | admissionStatus=""Active"" | warningAction=""Warning cleared""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Academic Warning Status,UNIQUE,Decision_AcademicWarningStatus_Rule_3,Rule 5.7,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",10,Tier 1 (official institutional policy document),cumulativeGPA=>= 2.00 | priorWarningCount=2,"newWarningCount=0 | admissionStatus=""Active"" | warningAction=""Warning cleared""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Academic Warning Status,UNIQUE,Decision_AcademicWarningStatus_Rule_4,Rule 5.5,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",10,Tier 1 (official institutional policy document),cumulativeGPA=< 2.00 | priorWarningCount=0,"newWarningCount=1 | admissionStatus=""Active"" | warningAction=""Issue 1st academic warning""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Academic Warning Status,UNIQUE,Decision_AcademicWarningStatus_Rule_5,"Rules 5.5, 4.4d","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",8;10,Tier 1 (official institutional policy document),cumulativeGPA=< 2.00 | priorWarningCount=1,"newWarningCount=2 | admissionStatus=""Active"" | warningAction=""Issue 2nd academic warning; parents/guardian called to campus""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Academic Warning Status,UNIQUE,Decision_AcademicWarningStatus_Rule_6,"Rules 5.6, 3.24","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",7;10,Tier 1 (official institutional policy document),cumulativeGPA=< 2.00 | priorWarningCount=2,"newWarningCount=3 | admissionStatus=""Closed"" | warningAction=""3rd consecutive low-CGPA semester: admission automatically closed""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Load Limit,UNIQUE,Decision_CourseLoadLimit_Rule_1,Rule 1.17,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),"semesterType=""Regular"" | newWarningCount=0","maxCoursesAllowed=99 | courseLoadBasis=""Per approved study plan (rule 1.17) - not capped by this rule""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Load Limit,UNIQUE,Decision_CourseLoadLimit_Rule_2,Rule 4.4c,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",8,Tier 1 (official institutional policy document),"semesterType=""Regular"" | newWarningCount=1","maxCoursesAllowed=5 | courseLoadBasis=""Capped at 5 due to 1st academic warning""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Load Limit,UNIQUE,Decision_CourseLoadLimit_Rule_3,Rule 4.4c/4.4e,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",8,Tier 1 (official institutional policy document),"semesterType=""Regular"" | newWarningCount=2","maxCoursesAllowed=5 | courseLoadBasis=""Capped at 5 due to 2nd academic warning; new-course registration additionally restricted""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Load Limit,UNIQUE,Decision_CourseLoadLimit_Rule_4,Rule 6.6,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",12,Tier 1 (official institutional policy document),"semesterType=""Summer"" | newWarningCount=-","maxCoursesAllowed=2 | courseLoadBasis=""Summer semester cap of 2 courses""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
