Decision Name,DMN File,Source Class,Source Citation,Source Tier,Hit Policy,#Inputs,#Rules,Condition Type,Decision Description,Notes
Is Ageing Required,Ageing_and_Dunning.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/process/task/BasicAgeingTask.java:L230-248 (isAgeingRequired) [mosabsalih/jBilling@master, commit 748ed1d] / src/java/com/sapienter/jbilling/server/process/task/BusinessDayAgeingTask.java:L80-98 (isAgeingRequired override) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,1,2,date-threshold,Determines whether a user who is already sitting in an ageing (dunning) step has spent long enough in that step to be pushed to the next one.,
Invoice Overdue Check,Ageing_and_Dunning.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/process/task/BasicAgeingTask.java:L206-220 (isInvoiceOverdue) [mosabsalih/jBilling@master, commit 748ed1d] / src/java/com/sapienter/jbilling/server/process/task/BusinessDayAgeingTask.java:L63-78 (isInvoiceOverdue override) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,1,2,date-threshold,Determines whether a single invoice is overdue once the entity-wide grace period is applied to its due date.,
Ageing Step Advancement,Ageing_and_Dunning.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/process/task/BasicAgeingTask.java:L150-195 (ageUser) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,3,4,boolean,"Decides, for one user being reviewed, whether they should be advanced to the next configured ageing step and why (first entry into ageing, normal step expiry, or recovery from an invalid/removed step configuration).",
Ageing Status Change Order Action,Ageing_and_Dunning.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/process/task/BasicAgeingTask.java:L300-375 (setUserStatus) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,3,4,boolean,"Given an ageing status transition for one user, decides what happens to that user's active orders (suspend, reactivate, delete the account, or nothing), based on the login-capability of the old vs. new status.",
Ageing Step Config Validation,Ageing_and_Dunning.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/process/AgeingBL.java:L182-231 (validate) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,6,5,boolean+numeric-threshold,"Validates a single ageing-step configuration row (per user status) before it is saved: welcome-message presence, non-zero day thresholds, and the special zero-day rule for the last configured step.",
Payment Outcome Resolution,Payment_Authorization_and_Blacklist.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/payment/PaymentBL.java:L302-344 (processPayment) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,2,2,boolean+numeric-threshold,"Resolves the final payment result code once every configured pluggable payment-processor task has been tried, forcing an UNAVAILABLE code if no processor ever became reachable.",
Payment Balance Assignment,Payment_Authorization_and_Blacklist.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/payment/PaymentBL.java:L346-351 (processPayment) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,2,2,numeric-threshold,"Sets a payment's outstanding balance to the full amount on success/manually-entered, or zero on failure/unavailable, based on the resolved outcome.",
Blacklist Filter Enabled,Payment_Authorization_and_Blacklist.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/payment/blacklist/BlacklistBL.java:L114-131 (getBlacklistPluginId / isBlacklistEnabled) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",UNIQUE,1,2,numeric-threshold,"Determines whether entity-level fraud/blacklist payment filtering is active, based on a plug-in id stored in the generic entity preference table.",
Cancellation Fee Eligibility,Order_Cancellation_and_Validity.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/order/task/CancellationFeeRulesTask.java:L70-109 (process) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,7,6,boolean+date-threshold+enumerated-string+numeric-threshold,"Decides whether a cancellation-fee-triggering event (an order's end date pulled earlier, or a line's quantity reduced) should actually generate a fee, or be silently skipped as a non-cancelling change.",
Order Period Already Invoiced,Order_Cancellation_and_Validity.dmn,"com.sapienter.jbilling...jBilling@master, commit 748ed1d]","src/java/com/sapienter/jbilling/server/order/OrderBL.java:L1105-1108 (isDateInvoiced) [mosabsalih/jBilling@master, commit 748ed1d]","Tier 2 (mined from mosabsalih/jBilling Java source code, local clone)",FIRST,4,4,boolean+date-threshold,"Determines whether a given date falls before an order's already-committed next billable day, meaning a billing period that was already invoiced would be cut short.",
