Decision Name,DMN File,Source Class,Source Citation,Source Tier,Hit Policy,#Inputs,#Rules,Condition Type,Decision Description,Notes
Birthdate Validity,Person_Demographics_Validation.dmn,org.openmrs.validator.openmrs-core@master],"api/src/main/java/org/openmrs/validator/PersonValidator.java:L161-167,193-213 (validateBirthDate/rejectIfFutureDate/rejectDateIfBefore140YearsAgo) [openmrs/openmrs-core@master]",Tier 2 (mined from openmrs-core validator source code),FIRST,3,3,numeric-threshold,A person's birthdate must not be in the future or imply an age over 140 years.,
Death Record Consistency,Person_Demographics_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PersonValidator.java:L145-153 (validateDeathCause) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,3,5,boolean,A dead person must have exactly one of causeOfDeath / causeOfDeathNonCoded set.,
Death Date Consistency Violations,Person_Demographics_Validation.dmn,org.openmrs.validator.openmrs-core@master],"api/src/main/java/org/openmrs/validator/PersonValidator.java:L175-184,193-197,222-226 (validateDeathDate/rejectIfFutureDate/rejectDeathDateIfBeforeBirthDate) [openmrs/openmrs-core@master]",Tier 2 (mined from openmrs-core validator source code),COLLECT,4,2,boolean,"Every independent reason a person's death date could be invalid, all reported together (COLLECT): not in the future, and not before their birthdate.",
Death Date Consistency,Person_Demographics_Validation.dmn,org.openmrs.validator.openmrs-core@master],"api/src/main/java/org/openmrs/validator/PersonValidator.java:L175-184,193-197,222-226 (validateDeathDate (downstream verdict)) [openmrs/openmrs-core@master]",Tier 2 (mined from openmrs-core validator source code),n/a (literal expression),0,1,derived-calculation,A person's death date is valid iff Death Date Consistency Violations reports nothing.,
Preferred Identifier Requirement,Patient_Identifier_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PatientValidator.java:L81-94 (validate) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,2,3,numeric-threshold,A patient with more than one identifier must have exactly one flagged preferred.,
Identifier Location Requirement,Patient_Identifier_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PatientIdentifierValidator.java:L95-101 (validateIdentifier(PatientIdentifier)) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,2,3,boolean+enumerated-string,A patient identifier needs a location unless its type's locationBehavior is NOT_USED.,
Identifier Uniqueness Check,Patient_Identifier_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PatientIdentifierValidator.java:L103-130 (validateIdentifier(PatientIdentifier)) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,3,4,boolean+enumerated-string,Uniqueness of a patient identifier value depends on its type's uniquenessBehavior.,
Identifier Format Validity,Patient_Identifier_Validation.dmn,org.openmrs.validator.openmrs-core@master],"api/src/main/java/org/openmrs/validator/PatientIdentifierValidator.java:L148-169,186-207 (validateIdentifier(String,PatientIdentifierType)/checkIdentifierAgainstFormat) [openmrs/openmrs-core@master]",Tier 2 (mined from openmrs-core validator source code),FIRST,3,4,boolean,A patient identifier value must satisfy its type's regex format. (Check-digit validation removed 2026-09-10 -- the algorithm has zero relational representation; see README.),
Obs Value Required By Datatype,Concept_and_Observation_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/ObsValidator.java:L164-222 (validateHelper) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),UNIQUE,2,6,boolean+enumerated-string,A leaf (non-group) Obs must populate the value_* column matching its concept's datatype.,
Obs Group Value Exclusivity,Concept_and_Observation_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/ObsValidator.java:L115-157 (validateHelper) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),UNIQUE,2,4,boolean,An Obs is either a value-bearing leaf or a value-free group -- never both.,
Numeric Precision Validity,Concept_and_Observation_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/ObsValidator.java:L192-201 (validateHelper) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,2,3,boolean,A numeric Obs value must be a whole number unless its concept allows decimals.,
Numeric Absolute Range Validity,Concept_and_Observation_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/ObsValidator.java:L307-326 (validateAbsoluteRanges) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,5,3,boolean+numeric-threshold,A numeric Obs value must fall within its concept's absolute high/low bounds.,
Numeric Interpretation Classification,Concept_and_Observation_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/ObsValidator.java:L387-403 (setObsInterpretation) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,5,5,numeric-threshold,A numeric Obs value is classified against critical/normal reference thresholds.,
Concept Preferred Name Validity,Concept_and_Observation_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/ConceptValidator.java:L136-153 (validate) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,4,5,boolean,"A concept's locale-preferred name must not be an index term, a short name, or voided.",
Order Date Activated Consistency Violations,Order_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/OrderValidator.java:L109-131 (validateDateActivated) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),COLLECT,9,4,boolean,"Every independent reason an order's dateActivated could be invalid, all reported together (COLLECT), except the future-date check which short-circuits the other three in the real source.",
Order Date Activated Consistency,Order_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/OrderValidator.java:L109-131 (validateDateActivated (downstream verdict)) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),n/a (literal expression),0,1,derived-calculation,An order's dateActivated is valid iff Order Date Activated Consistency Violations reports nothing.,
Order Scheduled Date Urgency Consistency,Order_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/OrderValidator.java:L141-150 (validateScheduledDate) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),UNIQUE,2,4,boolean+enumerated-string,scheduledDate and urgency=ON_SCHEDULED_DATE must be set together or not at all.,
Program Enrollment Date Consistency Violations,Program_Enrollment_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PatientProgramValidator.java:L99-112 (validate) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),COLLECT,4,3,boolean,"Every independent reason a program enrollment's dates could be invalid, all reported together (COLLECT): neither date future-dated, and completion not before enrollment.",
Program Enrollment Date Consistency,Program_Enrollment_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PatientProgramValidator.java:L99-112 (validate (downstream verdict)) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),n/a (literal expression),0,1,derived-calculation,Program enrollment dates are valid iff Program Enrollment Date Consistency Violations reports nothing.,
Patient State Date Validity,Program_Enrollment_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/PatientProgramValidator.java:L169-177 (validate) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),FIRST,4,4,boolean,A patient's program-workflow state end date must not precede its start date.,
Relationship Date Validity Violations,Relationship_and_Encounter_Validation.dmn,org.openmrs.validator.openmrs-core@master],api/src/main/java/org/openmrs/validator/RelationshipValidator.java:L54-64 (validate) [openmrs/openmrs-core@master],Tier 2 (mined from openmrs-core validator source code),COLLECT,5,2,boolean,"Every independent reason a relationship's dates could be invalid, all reported together (COLLECT): start not after end, start not in the future.",
