dmn_file,decision_name,variable_name,io,openmrs_table_column,mapping_type,notes
Person_Demographics_Validation.dmn,Birthdate Validity,yearsSinceBirthdate,input,person.birthdate,derived,"TIMESTAMPDIFF(YEAR, birthdate, CURRENT_DATE)"
Person_Demographics_Validation.dmn,Birthdate Validity,birthdateValid,output,n/a,not-persisted,"validation outcome only, not stored"
Person_Demographics_Validation.dmn,Birthdate Validity,reasonCode,output,n/a,not-persisted,"validation outcome only, not stored"
Person_Demographics_Validation.dmn,Death Record Consistency,dead,input,person.dead,direct - exact match,
Person_Demographics_Validation.dmn,Death Record Consistency,causeOfDeathSet,input,person.cause_of_death,derived,cause_of_death IS NOT NULL (FK to concept)
Person_Demographics_Validation.dmn,Death Record Consistency,causeOfDeathNonCodedSet,input,person.cause_of_death_non_coded,derived,cause_of_death_non_coded IS NOT NULL
Person_Demographics_Validation.dmn,Death Record Consistency,deathRecordValid,output,n/a,not-persisted,
Person_Demographics_Validation.dmn,Death Record Consistency,reasonCode,output,n/a,not-persisted,
Person_Demographics_Validation.dmn,Death Date Consistency Violations,deathDateSet,input,person.death_date,derived,death_date IS NOT NULL
Person_Demographics_Validation.dmn,Death Date Consistency,deathDateValid,output,n/a,not-persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
Person_Demographics_Validation.dmn,Death Date Consistency Violations,violationReasons,output,n/a,not-persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,identifierCount,input,patient_identifier.patient_id,direct - aggregate,"COUNT(*) FROM patient_identifier GROUP BY patient_id (active or all, per patient.voided)"
Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,preferredIdentifierValid,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,reasonCode,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Identifier Location Requirement,locationSet,input,patient_identifier.location_id,derived,location_id IS NOT NULL
Patient_Identifier_Validation.dmn,Identifier Location Requirement,locationBehavior,input,patient_identifier_type.location_behavior,direct - exact match,stored enum-like VARCHAR; null treated as REQUIRED per validator L96
Patient_Identifier_Validation.dmn,Identifier Location Requirement,locationRequirementValid,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Identifier Location Requirement,reasonCode,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,uniquenessBehavior,input,patient_identifier_type.uniqueness_behavior,direct - exact match,
Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,inUseByAnotherPatient,input,"patient_identifier.identifier, patient_identifier.identifier_type, patient_identifier.patient_id",derived,EXISTS(SELECT 1 FROM patient_identifier pi2 WHERE pi2.identifier=this.identifier AND pi2.identifier_type=this.identifier_type AND pi2.patient_id<>this.patient_id AND pi2.voided=false)
Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,duplicateWithinSamePatient,input,"patient_identifier.identifier, patient_identifier.location_id, patient_identifier.patient_identifier_id",derived,"self-join over the same patient_id per PatientIdentifierValidator L112-130 (globally-unique type, or same/null location match)"
Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,identifierUniquenessValid,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,reasonCode,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Identifier Format Validity,identifierBlank,input,patient_identifier.identifier,derived,identifier IS NULL OR TRIM(identifier) = ''
Patient_Identifier_Validation.dmn,Identifier Format Validity,formatSet,input,patient_identifier_type.format,derived,format IS NOT NULL
Patient_Identifier_Validation.dmn,Identifier Format Validity,identifierMatchesFormat,input,"patient_identifier.identifier, patient_identifier_type.format",derived,"regex match of identifier against format (application-level, format is a regex string column)"
Patient_Identifier_Validation.dmn,Identifier Format Validity,identifierFormatValid,output,n/a,not-persisted,
Patient_Identifier_Validation.dmn,Identifier Format Validity,reasonCode,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,isObsGroup,input,obs.obs_group_id,derived,EXISTS child obs rows with obs_group_id = this.obs_id (self-referencing FK)
Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,conceptDatatype,input,concept.datatype_id -> concept_datatype.name,direct - exact match,join obs.concept_id -> concept.concept_id -> concept.datatype_id -> concept_datatype.concept_datatype_id
Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,requiredValueColumn,output,n/a,not-persisted,generation-guidance label; the value itself names a real obs.value_* column (see decision rules)
Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,isObsGroup,input,obs.obs_group_id,derived,same as above
Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,anyValueFieldSet,input,"obs.value_coded, obs.value_drug, obs.value_datetime, obs.value_numeric, obs.value_modifier, obs.value_text, obs.value_complex",derived,OR of IS NOT NULL across all value_* columns; NOTE: there is no obs.value_boolean column -- boolean answers are stored via value_coded pointing at the TRUE/FALSE concept
Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,obsStructureValid,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,reasonCode,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Numeric Precision Validity,allowDecimal,input,concept_numeric.allow_decimal,direct - exact match,joined via obs.concept_id = concept_numeric.concept_id
