case_study,decision_name,variable_name,io,category,mapping_type_raw,notes
FLEX2,Academic Warning Status,cumulativeGPA,input,Direct Attribute Reference,direct,
FLEX2,Academic Warning Status,priorWarningCount,input,Direct Attribute Reference,direct,
FLEX2,Academic Warning Status,newWarningCount,output,Decision Output / Write-Back Target,direct,written back after each semester's processing
FLEX2,Academic Warning Status,admissionStatus,output,Decision Output / Write-Back Target,direct,Active/Closed must be mapped to the real STATUS_ID values in D_STUDENT_STATUS (not visible in this DDL-only export - no seed data)
FLEX2,Academic Warning Status,warningAction,output,Not-Persisted,not_persisted,Workflow/notification text only - no matching column found
FLEX2,Course Load Limit,semesterType,input,Compound / Unclassified Derivation,derived,exact column not confirmed from DDL alone - SEMESTER table structure not inspected in this pass
FLEX2,Course Load Limit,newWarningCount,input,Direct Attribute Reference,direct,fed from Academic Warning Status decision (DRD edge)
FLEX2,Course Load Limit,maxCoursesAllowed,output,Aggregate Function,derived,validated against COUNT(COURSE_REGISTRATION) for ROLL_NO+SEM_ID at registration time
FLEX2,Course Load Limit,courseLoadBasis,output,Not-Persisted,not_persisted,explanatory text only
FLEX2,Admission Closure Eligibility,newWarningCount,input,Direct Attribute Reference,direct,fed from Academic Warning Status decision (DRD edge)
FLEX2,Admission Closure Eligibility,newAdmissionEligibilityNotMet,input,Compound / Unclassified Derivation,derived,admission-module cross-reference
FLEX2,Admission Closure Eligibility,admissionStatus,output,Decision Output / Write-Back Target,direct,
FLEX2,Admission Closure Eligibility,closureReason,output,Compound / Unclassified Derivation,direct,table exists specifically for this purpose
FLEX2,Course Registration Eligibility,newWarningCount,input,Direct Attribute Reference,direct,fed from Academic Warning Status (DRD edge)
FLEX2,Course Registration Eligibility,projectedTotalCoursesThisRegistration,input,Aggregate Function,derived,
FLEX2,Course Registration Eligibility,maxCoursesAllowed,input,Compound / Unclassified Derivation,direct,fed from Course Load Limit (DRD edge)
FLEX2,Course Registration Eligibility,canRegisterCourse,output,Compound / Unclassified Derivation,derived,
FLEX2,Course Registration Eligibility,reason,output,Compound / Unclassified Derivation,direct,table exists specifically for this purpose
FLEX2,Attendance Percentage,lecturesHeldForOffering,input,Aggregate Function,direct,"Course-wise and duration-driven: LECTURE holds one row per session actually held for that COURSE_OFFER, so this count varies per course/semester (credit hours, weekly frequency, COURSE_OFFER.START_DATE/END_DATE) instead of a fixed lecture count for every course."
FLEX2,Attendance Percentage,lecturesAttended,input,Aggregate Function,direct,Raw attended-session count for this student in this course offering.
FLEX2,Attendance Percentage,attendancePercentage,output,Compound / Unclassified Derivation,derived,attendancePercentage = (lecturesAttended / lecturesHeldForOffering) * 100; feeds Attendance Eligibility For Final Exam via the DRD.
FLEX2,Attendance Eligibility For Final Exam,attendancePercentage,input,Direct Attribute Reference,derived,"Now computed by the upstream ""Attendance Percentage"" literal-expression decision (see its rows below) rather than assumed pre-computed."
FLEX2,Attendance Eligibility For Final Exam,eligibleForFinalExam,output,Decision Output / Write-Back Target,derived,
FLEX2,Attendance Eligibility For Final Exam,assignedGradeOverride,output,Decision Output / Write-Back Target,direct,
FLEX2,Grade Points and Interpretation,letterGrade,input,Direct Attribute Reference,direct,
FLEX2,Grade Points and Interpretation,gradePoints,output,Decision Output / Write-Back Target,direct,this decision is effectively a DMN mirror of the GRADE reference table; can be validated/generated directly from it once seed data is available
FLEX2,Grade Points and Interpretation,interpretation,output,Not-Persisted,not_persisted,GRADE table has no interpretation text column; sourced purely from policy doc rule 2.2
FLEX2,Course Replacement Eligibility,gradeInCourseToReplace,input,Direct Attribute Reference,direct,
FLEX2,Course Replacement Eligibility,courseOfferedInFollowingSemesters,input,Compound / Unclassified Derivation,derived,
FLEX2,Course Replacement Eligibility,replacingCoursePassedAtLeastOneSemesterAfter,input,Direct Attribute Reference,direct,schema has dedicated columns for exactly this
FLEX2,Course Replacement Eligibility,eligibleForReplacement,output,Decision Output / Write-Back Target,direct,
FLEX2,Course Replacement Eligibility,reason,output,Compound / Unclassified Derivation,derived,
FLEX2,Graduation Eligibility,creditHoursEarned,input,Direct Attribute Reference,direct,
FLEX2,Graduation Eligibility,degreeMinimumCreditHours,input,Compound / Unclassified Derivation,direct,PROGRAM table's full column list was not inspected in this pass
FLEX2,Graduation Eligibility,cumulativeGPA,input,Direct Attribute Reference,direct,
FLEX2,Graduation Eligibility,semestersElapsed,input,Aggregate Function,derived,
FLEX2,Graduation Eligibility,yearsElapsed,input,Direct Attribute Reference,derived,
FLEX2,Graduation Eligibility,eligibleToGraduate,output,Decision Output / Write-Back Target,derived,
FLEX2,Graduation Eligibility,reason,output,Compound / Unclassified Derivation,derived,
FLEX2,Summer Semester Registration,isElectiveTaughtByVisitingScholarUnavailableOtherwise,input,Schema Gap,schema_gap,no direct 'visiting-only availability' flag
FLEX2,Summer Semester Registration,isNeededToGraduateThisSummer,input,Compound / Unclassified Derivation,derived,
FLEX2,Summer Semester Registration,repeatCourseCountRequested,input,Aggregate Function,direct,table exists specifically for this purpose
FLEX2,Summer Semester Registration,registrationAllowed,output,Compound / Unclassified Derivation,derived,
FLEX2,Summer Semester Registration,reason,output,Compound / Unclassified Derivation,direct,
FLEX2,Credit Transfer Exemption,cumulativeExemptedCreditPercentIfGranted,input,Direct Attribute Reference,derived,
FLEX2,Credit Transfer Exemption,exemptionGranted,output,Compound / Unclassified Derivation,direct,
FLEX2,Credit Transfer Exemption,creditGivenForPrerequisite,output,Compound / Unclassified Derivation,direct,
FLEX2,Credit Transfer Exemption,countsTowardCGPA,output,Not-Persisted,not_persisted,"enforced by exclusion logic in CGPA calculation, not a stored flag"
FLEX2,Credit Transfer Exemption,reason,output,Decision Output / Write-Back Target,direct,column is literally intended for this
FLEX2,Admission Closure Eligibility,yearsSinceProgramStart,input,Direct Attribute Reference,derived,"exposed as a real duration compared against the 7-year cap (>7), replacing maxDurationExceeded (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Admission Closure Eligibility,regStatus,input,Direct Attribute Reference,direct,"exposed as a real status-code test, replacing suspendedRegistrationNotRestored; specific code value unconfirmed (Flex1.sql has no seed data), same caveat as other coded values in this schema (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Course Registration Eligibility,unmetPrerequisiteCount,input,Direct Attribute Reference,derived,"exposed as a count (>0 means blocked), replacing allPrerequisitesPassed; matches the count-instead-of-EXISTS pattern used for Spree/OpenMRS (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Course Registration Eligibility,previousGradeInCourse,input,Direct Attribute Reference,derived,"exposed as a real FEEL list-membership test against {F,D,D+,C-}, replacing isMandatoryReregistration (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Course Replacement Eligibility,creditsEarned,input,Direct Attribute Reference,direct,"exposed directly, replacing degreeRequirementsCompletedOrCompletingThisSemester (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Course Replacement Eligibility,degreeTotalCredits,input,Compound / Unclassified Derivation,direct,exposed directly for the cross-variable comparison (creditsEarned < degreeTotalCredits)
FLEX2,Course Replacement Eligibility,courseTypeId,input,Direct Attribute Reference,direct,"exposed as a real category test (= ""CORE""), replacing isCoreCourse (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Summer Semester Registration,courseTypeId,input,Direct Attribute Reference,direct,"exposed as a real category test (= ""RESEARCH""), replacing isResearchCourseOrProject (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Summer Semester Registration,priorRegistrationCount,input,Aggregate Function,derived,"exposed as a count (=0 means new request), replacing isNewCourseRequest (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Summer Semester Registration,enrolledStudentCount,input,Aggregate Function,derived,"exposed as a count (<10 blocks), replacing minimumTenStudentsEnrolled (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
FLEX2,Credit Transfer Exemption,unmetPrerequisiteAlsoPassedCount,input,Compound / Unclassified Derivation,derived,"exposed as a count (=0 means passed), replacing prerequisiteCourseAlsoPassed (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Birthdate Validity,yearsSinceBirthdate,input,Direct Attribute Reference,derived,"TIMESTAMPDIFF(YEAR, birthdate, CURRENT_DATE)"
OpenMRS,Birthdate Validity,birthdateValid,output,Not-Persisted,not_persisted,"validation outcome only, not stored"
OpenMRS,Birthdate Validity,reasonCode,output,Not-Persisted,not_persisted,"validation outcome only, not stored"
OpenMRS,Death Record Consistency,dead,input,Direct Attribute Reference,direct,
OpenMRS,Death Record Consistency,causeOfDeathSet,input,Single-Column Predicate,derived,cause_of_death IS NOT NULL (FK to concept)
