case_study,record_id,decision_name,hit_policy,usage_shapes
FLEX2,FLEX2::Academic Warning Status::Decision_AcademicWarningStatus_Rule_1,Academic Warning Status,UNIQUE,plain single comparison
FLEX2,FLEX2::Academic Warning Status::Decision_AcademicWarningStatus_Rule_2,Academic Warning Status,UNIQUE,plain single comparison
FLEX2,FLEX2::Academic Warning Status::Decision_AcademicWarningStatus_Rule_3,Academic Warning Status,UNIQUE,plain single comparison
FLEX2,FLEX2::Academic Warning Status::Decision_AcademicWarningStatus_Rule_4,Academic Warning Status,UNIQUE,plain single comparison
FLEX2,FLEX2::Academic Warning Status::Decision_AcademicWarningStatus_Rule_5,Academic Warning Status,UNIQUE,plain single comparison
FLEX2,FLEX2::Academic Warning Status::Decision_AcademicWarningStatus_Rule_6,Academic Warning Status,UNIQUE,plain single comparison
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_1,Course Load Limit,UNIQUE,plain single comparison
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_2,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_3,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_4,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_5,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_6,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_1,Course Load Limit,UNIQUE,plain single comparison
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_2,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_3,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_4,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_5,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_6,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_3::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_1,Course Load Limit,UNIQUE,plain single comparison
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_3::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_2,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_3::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_3,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_3::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_4,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_3::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_5,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_3::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_6,Course Load Limit,UNIQUE,negation (NOT)
FLEX2,FLEX2::Course Load Limit::Decision_CourseLoadLimit_Rule_4,Course Load Limit,UNIQUE,plain single comparison
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_1,Admission Closure Eligibility,FIRST,plain single comparison
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_2,Admission Closure Eligibility,FIRST,negation (NOT)
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_3,Admission Closure Eligibility,FIRST,negation (NOT)
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_4,Admission Closure Eligibility,FIRST,negation (NOT)
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_5,Admission Closure Eligibility,FIRST,negation (NOT)
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_1::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_6,Admission Closure Eligibility,FIRST,negation (NOT)
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_2,Admission Closure Eligibility,FIRST,plain single comparison
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_3,Admission Closure Eligibility,FIRST,plain single comparison
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_4,Admission Closure Eligibility,FIRST,plain single comparison
FLEX2,FLEX2::Admission Closure Eligibility::Decision_AdmissionClosureEligibility_Rule_5,Admission Closure Eligibility,FIRST,plain single comparison
FLEX2,FLEX2::Course Registration Eligibility::Decision_CourseRegistrationEligibility_Rule_1,Course Registration Eligibility,FIRST,plain single comparison
FLEX2,FLEX2::Course Registration Eligibility::Decision_CourseRegistrationEligibility_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_1,Course Registration Eligibility,FIRST,negation (NOT); set-membership (IN)
FLEX2,FLEX2::Course Registration Eligibility::Decision_CourseRegistrationEligibility_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_2,Course Registration Eligibility,FIRST,negation (NOT); set-membership (IN)
FLEX2,FLEX2::Course Registration Eligibility::Decision_CourseRegistrationEligibility_Rule_2::via::Academic Warning Status::Decision_AcademicWarningStatus_Rule_3,Course Registration Eligibility,FIRST,negation (NOT); set-membership (IN)
